Int, Cores, Prime (T/F), Time (milliseconds), Comments
53437079999999999999999994656083,8,1,229347,a = 2687; End: a = 0; r = 5378; phi(r) = 2688
53437079999999999999999994656113,8,1,231838,a = 2691; End: a = 0; r = 5386; phi(r) = 2692
53437079999999999999999994656137,8,1,210510,a = 2591; End: a = 0; r = 5402; phi(r) = 2592
53437079999999999999999994656153,8,1,220291,a = 2687; End: a = 0; r = 5384; phi(r) = 2688
53437079999999999999999994656293,8,1,230910,a = 2687; End: a = 0; r = 5378; phi(r) = 2688
