Int, Cores, Prime (T/F), Time (milliseconds), Comments
689960931088884849033689023336009222694927,4,1,28534,a = 65; End: a = 0; r = 9246; lambda(r) = 66
689960931088884849033689023336009222694971,4,1,637332,a = 1551; End: a = 0; r = 9318; lambda(r) = 1552
689960931088884849033689023336009222695053,4,1,235685,a = 575; End: a = 0; r = 9232; lambda(r) = 576
689960931088884849033689023336009222695077,4,1,3874031,a = 9321; End: a = 0; r = 9323; lambda(r) = 9322
