Int, Cores, Prime (T/F), Time (milliseconds), Comments
10012141,2,1,2069,a = 127; End: a = 0; r = 256; phi(r) = 128
10012142,2,0,0,2 is a divisor
10012143,2,0,0,3 is a divisor
10012144,2,0,0,2 is a divisor
10012145,2,0,0,5 is a divisor
10012146,2,0,0,2 is a divisor
10012147,2,0,28,a = 127; End: a = 1; r = 256; phi(r) = 128
10012148,2,0,0,2 is a divisor
10012149,2,0,0,3 is a divisor
10012150,2,0,0,2 is a divisor
10012151,2,0,0,167 is a divisor
10012152,2,0,0,2 is a divisor
10012153,2,0,0,23 is a divisor
10012154,2,0,0,2 is a divisor
10012155,2,0,0,3 is a divisor
10012156,2,0,0,2 is a divisor
10012157,2,1,2250,a = 127; End: a = 0; r = 256; phi(r) = 128
10012158,2,0,0,2 is a divisor
10012159,2,0,0,41 is a divisor
10012160,2,0,0,2 is a divisor
10012161,2,0,0,3 is a divisor
10012162,2,0,0,2 is a divisor
10012163,2,0,0,7 is a divisor
10012164,2,0,0,2 is a divisor
10012165,2,0,0,5 is a divisor
10012166,2,0,0,2 is a divisor
10012167,2,0,0,3 is a divisor
10012168,2,0,0,2 is a divisor
10012169,2,0,0,73 is a divisor
10012170,2,0,0,2 is a divisor
10012171,2,0,0,13 is a divisor
10012172,2,0,0,2 is a divisor
10012173,2,0,0,3 is a divisor
10012174,2,0,0,2 is a divisor
10012175,2,0,0,5 is a divisor
10012176,2,0,0,2 is a divisor
10012177,2,0,0,7 is a divisor
10012178,2,0,0,2 is a divisor
10012179,2,0,0,3 is a divisor
10012180,2,0,0,2 is a divisor
10012181,2,1,2353,a = 127; End: a = 0; r = 256; phi(r) = 128
10012182,2,0,0,2 is a divisor
10012183,2,0,0,19 is a divisor
10012184,2,0,0,2 is a divisor
10012185,2,0,0,3 is a divisor
10012186,2,0,0,2 is a divisor
10012187,2,0,11,a = 127; End: a = 1; r = 256; phi(r) = 128
10012188,2,0,0,2 is a divisor
10012189,2,0,0,11 is a divisor
10012190,2,0,0,2 is a divisor
10012191,2,0,0,3 is a divisor
10012192,2,0,0,2 is a divisor
10012193,2,1,2360,a = 127; End: a = 0; r = 256; phi(r) = 128
10012194,2,0,0,2 is a divisor
10012195,2,0,0,5 is a divisor
10012196,2,0,0,2 is a divisor
10012197,2,0,0,3 is a divisor
10012198,2,0,0,2 is a divisor
10012199,2,0,0,23 is a divisor
10012200,2,0,0,2 is a divisor
10012201,2,0,0,17 is a divisor
10012202,2,0,0,2 is a divisor
10012203,2,0,0,3 is a divisor
10012204,2,0,0,2 is a divisor
10012205,2,0,0,5 is a divisor
10012206,2,0,0,2 is a divisor
10012207,2,0,0,71 is a divisor
10012208,2,0,0,2 is a divisor
10012209,2,0,0,3 is a divisor
10012210,2,0,0,2 is a divisor
10012211,2,0,0,11 is a divisor
10012212,2,0,0,2 is a divisor
10012213,2,1,2124,a = 127; End: a = 0; r = 256; phi(r) = 128
10012214,2,0,0,2 is a divisor
10012215,2,0,0,3 is a divisor
10012216,2,0,0,2 is a divisor
10012217,2,1,2200,a = 127; End: a = 0; r = 256; phi(r) = 128
10012218,2,0,0,2 is a divisor
10012219,2,0,0,7 is a divisor
10012220,2,0,0,2 is a divisor
10012221,2,0,0,3 is a divisor
10012222,2,0,0,2 is a divisor
10012223,2,0,0,13 is a divisor
10012224,2,0,0,2 is a divisor
10012225,2,0,0,5 is a divisor
10012226,2,0,0,2 is a divisor
10012227,2,0,0,3 is a divisor
10012228,2,0,0,2 is a divisor
10012229,2,1,2123,a = 127; End: a = 0; r = 256; phi(r) = 128
10012230,2,0,0,2 is a divisor
10012231,2,0,0,101 is a divisor
10012232,2,0,0,2 is a divisor
10012233,2,0,0,3 is a divisor
10012234,2,0,0,2 is a divisor
10012235,2,0,0,5 is a divisor
10012236,2,0,0,2 is a divisor
10012237,2,0,0,37 is a divisor
10012238,2,0,0,2 is a divisor
10012239,2,0,0,3 is a divisor
10012240,2,0,0,2 is a divisor
10012241,2,0,0,41 is a divisor
10012242,2,0,0,2 is a divisor
10012243,2,0,0,97 is a divisor
10012244,2,0,0,2 is a divisor
10012245,2,0,0,3 is a divisor
10012246,2,0,0,2 is a divisor
10012247,2,0,0,7 is a divisor
10012248,2,0,0,2 is a divisor
10012249,2,0,0,13 is a divisor
10012250,2,0,0,2 is a divisor
10012251,2,0,0,3 is a divisor
10012252,2,0,0,2 is a divisor
10012253,2,1,2384,a = 127; End: a = 0; r = 256; phi(r) = 128
10012254,2,0,0,2 is a divisor
10012255,2,0,0,5 is a divisor
10012256,2,0,0,2 is a divisor
10012257,2,0,0,3 is a divisor
10012258,2,0,0,2 is a divisor
10012259,2,0,0,19 is a divisor
10012260,2,0,0,2 is a divisor
10012261,2,0,0,7 is a divisor
10012262,2,0,0,2 is a divisor
10012263,2,0,0,3 is a divisor
10012264,2,0,0,2 is a divisor
10012265,2,0,0,5 is a divisor
10012266,2,0,0,2 is a divisor
10012267,2,0,16,a = 127; End: a = 1; r = 256; phi(r) = 128
10012268,2,0,0,2 is a divisor
10012269,2,0,0,3 is a divisor
10012270,2,0,0,2 is a divisor
10012271,2,1,2053,a = 127; End: a = 0; r = 256; phi(r) = 128
10012272,2,0,0,2 is a divisor
10012273,2,0,17,a = 127; End: a = 1; r = 256; phi(r) = 128
10012274,2,0,0,2 is a divisor
10012275,2,0,0,3 is a divisor
10012276,2,0,0,2 is a divisor
10012277,2,0,0,11 is a divisor
10012278,2,0,0,2 is a divisor
10012279,2,0,0,29 is a divisor
10012280,2,0,0,2 is a divisor
10012281,2,0,0,3 is a divisor
10012282,2,0,0,2 is a divisor
10012283,2,0,0,53 is a divisor
10012284,2,0,0,2 is a divisor
10012285,2,0,0,5 is a divisor
10012286,2,0,0,2 is a divisor
10012287,2,0,0,3 is a divisor
10012288,2,0,0,2 is a divisor
10012289,2,0,0,7 is a divisor
10012290,2,0,0,2 is a divisor
10012291,2,0,0,23 is a divisor
10012292,2,0,0,2 is a divisor
10012293,2,0,0,3 is a divisor
10012294,2,0,0,2 is a divisor
10012295,2,0,0,5 is a divisor
10012296,2,0,0,2 is a divisor
10012297,2,0,0,19 is a divisor
10012298,2,0,0,2 is a divisor
10012299,2,0,0,3 is a divisor
10012300,2,0,0,2 is a divisor
10012301,2,0,0,13 is a divisor
10012302,2,0,0,2 is a divisor
10012303,2,0,2,7 is a divisor
10012304,2,0,0,2 is a divisor
10012305,2,0,0,3 is a divisor
10012306,2,0,0,2 is a divisor
10012307,2,0,35,a = 127; End: a = 1; r = 256; phi(r) = 128
10012308,2,0,0,2 is a divisor
10012309,2,0,0,139 is a divisor
10012310,2,0,0,2 is a divisor
10012311,2,0,0,3 is a divisor
10012312,2,0,0,2 is a divisor
10012313,2,1,2307,a = 127; End: a = 0; r = 256; phi(r) = 128
10012314,2,0,0,2 is a divisor
10012315,2,0,0,5 is a divisor
10012316,2,0,0,2 is a divisor
10012317,2,0,0,3 is a divisor
10012318,2,0,0,2 is a divisor
10012319,2,0,8,a = 127; End: a = 1; r = 256; phi(r) = 128
10012320,2,0,0,2 is a divisor
10012321,2,0,0,11 is a divisor
10012322,2,0,0,2 is a divisor
10012323,2,0,0,3 is a divisor
10012324,2,0,0,2 is a divisor
10012325,2,0,0,5 is a divisor
10012326,2,0,0,2 is a divisor
10012327,2,0,0,13 is a divisor
10012328,2,0,0,2 is a divisor
10012329,2,0,0,3 is a divisor
10012330,2,0,0,2 is a divisor
10012331,2,0,0,7 is a divisor
10012332,2,0,0,2 is a divisor
10012333,2,1,2338,a = 127; End: a = 0; r = 256; phi(r) = 128
