Int, Cores, Prime (T/F), Time (milliseconds), Comments
53437079999999999999999994656083,8,1,221324,a = 2687; End: a = 0; r = 5378; lambda(r) = 2688
53437079999999999999999994656113,8,1,216479,a = 2691; End: a = 0; r = 5386; lambda(r) = 2692
53437079999999999999999994656137,8,1,5767,a = 71; End: a = 0; r = 5402; lambda(r) = 72
53437079999999999999999994656153,8,1,53977,a = 671; End: a = 0; r = 5384; lambda(r) = 672
53437079999999999999999994656293,8,1,216161,a = 2687; End: a = 0; r = 5378; lambda(r) = 2688
