Int, Cores, Prime (T/F), Time (milliseconds), Comments
9007199254740677,2,1,102618,n/a
9007199254740678,2,0,0,2 is a divisor
9007199254740679,2,0,0,103 is a divisor
9007199254740680,2,0,0,2 is a divisor
9007199254740681,2,0,0,3 is a divisor
9007199254740682,2,0,0,2 is a divisor
9007199254740683,2,0,0,67 is a divisor
9007199254740684,2,0,0,2 is a divisor
9007199254740685,2,0,0,5 is a divisor
9007199254740686,2,0,0,2 is a divisor
9007199254740687,2,0,0,3 is a divisor
9007199254740688,2,0,0,2 is a divisor
9007199254740689,2,0,0,83 is a divisor
9007199254740690,2,0,0,2 is a divisor
9007199254740691,2,0,0,29 is a divisor
9007199254740692,2,0,0,2 is a divisor
9007199254740693,2,0,0,3 is a divisor
9007199254740694,2,0,0,2 is a divisor
9007199254740695,2,0,0,5 is a divisor
9007199254740696,2,0,0,2 is a divisor
9007199254740697,2,0,0,19 is a divisor
9007199254740698,2,0,0,2 is a divisor
9007199254740699,2,0,0,3 is a divisor
9007199254740700,2,0,0,2 is a divisor
9007199254740701,2,0,0,7 is a divisor
9007199254740702,2,0,0,2 is a divisor
9007199254740703,2,0,0,257 is a divisor
9007199254740704,2,0,0,2 is a divisor
9007199254740705,2,0,0,3 is a divisor
9007199254740706,2,0,0,2 is a divisor
9007199254740707,2,0,0,43 is a divisor
9007199254740708,2,0,0,2 is a divisor
9007199254740709,2,0,0,11 is a divisor
9007199254740710,2,0,0,2 is a divisor
9007199254740711,2,0,0,3 is a divisor
9007199254740712,2,0,0,2 is a divisor
9007199254740713,2,0,0,13 is a divisor
9007199254740714,2,0,0,2 is a divisor
9007199254740715,2,0,0,5 is a divisor
9007199254740716,2,0,0,2 is a divisor
9007199254740717,2,0,0,3 is a divisor
9007199254740718,2,0,0,2 is a divisor
9007199254740719,2,0,0,241 is a divisor
9007199254740720,2,0,0,2 is a divisor
9007199254740721,2,0,0,521 is a divisor
9007199254740722,2,0,0,2 is a divisor
9007199254740723,2,0,0,3 is a divisor
9007199254740724,2,0,0,2 is a divisor
9007199254740725,2,0,0,5 is a divisor
9007199254740726,2,0,0,2 is a divisor
9007199254740727,2,1,115650,n/a
9007199254740728,2,0,0,2 is a divisor
9007199254740729,2,0,0,3 is a divisor
