Int, Cores, Prime (T/F), Time (milliseconds), Comments
4467165232203221,2,1,102586,a = 1319; End: a = 0; r = 1321; phi(r) = 1320
4467165232203222,2,0,0,2 is a divisor
4467165232203223,2,0,0,11 is a divisor
4467165232203224,2,0,0,2 is a divisor
4467165232203225,2,0,0,3 is a divisor
4467165232203226,2,0,0,2 is a divisor
4467165232203227,2,0,334,a = 639; End: a = 1; r = 1312; phi(r) = 640
4467165232203228,2,0,0,2 is a divisor
4467165232203229,2,0,0,29 is a divisor
4467165232203230,2,0,0,2 is a divisor
4467165232203231,2,0,0,3 is a divisor
4467165232203232,2,0,0,2 is a divisor
4467165232203233,2,0,0,7 is a divisor
4467165232203234,2,0,2,2 is a divisor
4467165232203235,2,0,0,5 is a divisor
4467165232203236,2,0,0,2 is a divisor
4467165232203237,2,0,0,3 is a divisor
4467165232203238,2,0,0,2 is a divisor
4467165232203239,2,1,101460,a = 1275; End: a = 0; r = 1357; phi(r) = 1276
4467165232203240,2,0,0,2 is a divisor
4467165232203241,2,0,469,a = 551; End: a = 1; r = 1316; phi(r) = 552
4467165232203242,2,0,0,2 is a divisor
4467165232203243,2,0,0,3 is a divisor
4467165232203244,2,0,0,2 is a divisor
4467165232203245,2,0,0,5 is a divisor
4467165232203246,2,0,0,2 is a divisor
4467165232203247,2,0,0,7 is a divisor
4467165232203248,2,0,0,2 is a divisor
4467165232203249,2,0,0,3 is a divisor
4467165232203250,2,0,0,2 is a divisor
4467165232203251,2,0,0,31 is a divisor
4467165232203252,2,0,0,2 is a divisor
4467165232203253,2,0,0,41 is a divisor
4467165232203254,2,0,0,2 is a divisor
4467165232203255,2,0,0,3 is a divisor
4467165232203256,2,0,0,2 is a divisor
4467165232203257,2,0,0,17 is a divisor
4467165232203258,2,0,0,2 is a divisor
4467165232203259,2,0,579,a = 657; End: a = 1; r = 1318; phi(r) = 658
4467165232203260,2,0,0,2 is a divisor
4467165232203261,2,0,0,3 is a divisor
4467165232203262,2,0,0,2 is a divisor
4467165232203263,2,0,0,857 is a divisor
4467165232203264,2,0,0,2 is a divisor
4467165232203265,2,0,0,5 is a divisor
4467165232203266,2,0,0,2 is a divisor
4467165232203267,2,0,0,3 is a divisor
4467165232203268,2,0,0,2 is a divisor
4467165232203269,2,1,80580,a = 1047; End: a = 0; r = 1315; phi(r) = 1048
4467165232203270,2,0,0,2 is a divisor
4467165232203271,2,0,0,13 is a divisor
4467165232203272,2,0,0,2 is a divisor
4467165232203273,2,0,0,3 is a divisor
4467165232203274,2,0,0,2 is a divisor
4467165232203275,2,0,0,5 is a divisor
4467165232203276,2,0,0,2 is a divisor
4467165232203277,2,0,567,a = 431; End: a = 1; r = 1308; phi(r) = 432
4467165232203278,2,0,0,2 is a divisor
4467165232203279,2,0,0,3 is a divisor
4467165232203280,2,0,0,2 is a divisor
4467165232203281,2,0,640,a = 383; End: a = 1; r = 1344; phi(r) = 384
4467165232203282,2,0,0,2 is a divisor
4467165232203283,2,1,49195,a = 623; End: a = 0; r = 1352; phi(r) = 624
4467165232203284,2,0,0,2 is a divisor
4467165232203285,2,0,0,3 is a divisor
4467165232203286,2,0,0,2 is a divisor
4467165232203287,2,0,0,29 is a divisor
4467165232203288,2,0,0,2 is a divisor
4467165232203289,2,0,0,7 is a divisor
4467165232203290,2,0,0,2 is a divisor
4467165232203291,2,0,0,3 is a divisor
4467165232203292,2,0,0,2 is a divisor
4467165232203293,2,0,0,19 is a divisor
4467165232203294,2,0,0,2 is a divisor
4467165232203295,2,0,0,5 is a divisor
4467165232203296,2,0,0,2 is a divisor
4467165232203297,2,0,0,3 is a divisor
4467165232203298,2,0,0,2 is a divisor
4467165232203299,2,0,230,a = 1371; End: a = 1; r = 1373; phi(r) = 1372
4467165232203300,2,0,0,2 is a divisor
4467165232203301,2,0,1,23 is a divisor
4467165232203302,2,0,17,2 is a divisor
4467165232203303,2,0,0,3 is a divisor
4467165232203304,2,0,0,2 is a divisor
4467165232203305,2,0,0,5 is a divisor
4467165232203306,2,0,0,2 is a divisor
4467165232203307,2,0,0,107 is a divisor
4467165232203308,2,0,0,2 is a divisor
4467165232203309,2,0,0,3 is a divisor
4467165232203310,2,0,0,2 is a divisor
4467165232203311,2,0,0,11 is a divisor
4467165232203312,2,0,22,2 is a divisor
4467165232203313,2,0,0,31 is a divisor
4467165232203314,2,0,0,2 is a divisor
4467165232203315,2,0,0,3 is a divisor
4467165232203316,2,0,0,2 is a divisor
4467165232203317,2,0,0,7 is a divisor
4467165232203318,2,0,0,2 is a divisor
