Int, Cores, Prime (T/F), Time (milliseconds), Comments
689960931088884849033689023336009222694927,4,1,1213700,a = 2903; End: a = 0; r = 9246; phi(r) = 2904
689960931088884849033689023336009222694971,4,1,1283545,a = 3103; End: a = 0; r = 9318; phi(r) = 3104
689960931088884849033689023336009222695053,4,1,1928505,a = 4607; End: a = 0; r = 9232; phi(r) = 4608
689960931088884849033689023336009222695077,4,1,3916686,a = 9321; End: a = 0; r = 9323; phi(r) = 9322
