Int, Cores, Prime (T/F), Time (milliseconds), Comments
53437079999999999999999994656083,4,1,364211,a = 2687; End: a = 0; r = 5378; lambda(r) = 2688
53437079999999999999999994656113,4,1,362542,a = 2691; End: a = 0; r = 5386; lambda(r) = 2692
53437079999999999999999994656137,4,1,9821,a = 71; End: a = 0; r = 5402; lambda(r) = 72
53437079999999999999999994656153,4,1,91346,a = 671; End: a = 0; r = 5384; lambda(r) = 672
53437079999999999999999994656293,4,1,361691,a = 2687; End: a = 0; r = 5378; lambda(r) = 2688
