Int, Cores, Prime (T/F), Time (milliseconds), Comments
4467165232203221,2,1,99344,a = 1319; End: a = 0; r = 1321; lambda(r) = 1320
4467165232203222,2,0,0,2 is a divisor
4467165232203223,2,0,0,11 is a divisor
4467165232203224,2,0,0,2 is a divisor
4467165232203225,2,0,0,3 is a divisor
4467165232203226,2,0,0,2 is a divisor
4467165232203227,2,0,375,a = 39; End: a = 1; r = 1312; lambda(r) = 40
4467165232203228,2,0,0,2 is a divisor
4467165232203229,2,0,0,29 is a divisor
4467165232203230,2,0,0,2 is a divisor
4467165232203231,2,0,0,3 is a divisor
4467165232203232,2,0,0,2 is a divisor
4467165232203233,2,0,0,7 is a divisor
4467165232203234,2,0,0,2 is a divisor
4467165232203235,2,0,0,5 is a divisor
4467165232203236,2,0,0,2 is a divisor
4467165232203237,2,0,0,3 is a divisor
4467165232203238,2,0,0,2 is a divisor
4467165232203239,2,1,55439,a = 637; End: a = 0; r = 1357; lambda(r) = 638
4467165232203240,2,0,0,2 is a divisor
4467165232203241,2,0,500,a = 137; End: a = 1; r = 1316; lambda(r) = 138
4467165232203242,2,0,0,2 is a divisor
4467165232203243,2,0,0,3 is a divisor
4467165232203244,2,0,0,2 is a divisor
4467165232203245,2,0,0,5 is a divisor
4467165232203246,2,0,0,2 is a divisor
4467165232203247,2,0,0,7 is a divisor
4467165232203248,2,0,0,2 is a divisor
4467165232203249,2,0,0,3 is a divisor
4467165232203250,2,0,0,2 is a divisor
4467165232203251,2,0,0,31 is a divisor
4467165232203252,2,0,0,2 is a divisor
4467165232203253,2,0,0,41 is a divisor
4467165232203254,2,0,0,2 is a divisor
4467165232203255,2,0,0,3 is a divisor
4467165232203256,2,0,0,2 is a divisor
4467165232203257,2,0,0,17 is a divisor
4467165232203258,2,0,0,2 is a divisor
4467165232203259,2,0,449,a = 657; End: a = 1; r = 1318; lambda(r) = 658
4467165232203260,2,0,0,2 is a divisor
4467165232203261,2,0,0,3 is a divisor
4467165232203262,2,0,0,2 is a divisor
4467165232203263,2,0,0,857 is a divisor
4467165232203264,2,0,0,2 is a divisor
4467165232203265,2,0,0,5 is a divisor
4467165232203266,2,0,0,2 is a divisor
4467165232203267,2,0,0,3 is a divisor
4467165232203268,2,0,0,2 is a divisor
4467165232203269,2,1,41309,a = 523; End: a = 0; r = 1315; lambda(r) = 524
4467165232203270,2,0,0,2 is a divisor
4467165232203271,2,0,0,13 is a divisor
4467165232203272,2,0,0,2 is a divisor
4467165232203273,2,0,0,3 is a divisor
4467165232203274,2,0,0,2 is a divisor
4467165232203275,2,0,0,5 is a divisor
4467165232203276,2,0,0,2 is a divisor
4467165232203277,2,0,573,a = 107; End: a = 1; r = 1308; lambda(r) = 108
4467165232203278,2,0,0,2 is a divisor
4467165232203279,2,0,0,3 is a divisor
4467165232203280,2,0,0,2 is a divisor
4467165232203281,2,0,588,a = 47; End: a = 1; r = 1344; lambda(r) = 48
4467165232203282,2,0,0,2 is a divisor
4467165232203283,2,1,12162,a = 155; End: a = 0; r = 1352; lambda(r) = 156
4467165232203284,2,0,0,2 is a divisor
4467165232203285,2,0,0,3 is a divisor
4467165232203286,2,0,0,2 is a divisor
4467165232203287,2,0,0,29 is a divisor
4467165232203288,2,0,0,2 is a divisor
4467165232203289,2,0,0,7 is a divisor
4467165232203290,2,0,0,2 is a divisor
4467165232203291,2,0,0,3 is a divisor
4467165232203292,2,0,0,2 is a divisor
4467165232203293,2,0,0,19 is a divisor
4467165232203294,2,0,0,2 is a divisor
4467165232203295,2,0,10,5 is a divisor
4467165232203296,2,0,0,2 is a divisor
