Int, Cores, Prime (T/F), Time (milliseconds), Comments
5,2,1,1,n/a
6,2,0,0,2 is a divisor
7,2,1,1,n/a
8,2,0,1,8 is a perfect power
9,2,0,1,9 is a perfect power
10,2,0,0,2 is a divisor
11,2,1,0,n/a
12,2,0,0,2 is a divisor
13,2,1,0,n/a
14,2,0,0,2 is a divisor
15,2,0,0,3 is a divisor
16,2,0,0,16 is a perfect power
17,2,1,0,n/a
18,2,0,0,2 is a divisor
19,2,1,0,n/a
20,2,0,0,2 is a divisor
21,2,0,0,3 is a divisor
22,2,0,0,2 is a divisor
23,2,1,0,n/a
24,2,0,0,2 is a divisor
25,2,0,0,25 is a perfect power
26,2,0,0,2 is a divisor
27,2,0,10,27 is a perfect power
28,2,0,0,2 is a divisor
29,2,1,0,n/a
30,2,0,0,2 is a divisor
31,2,1,0,n/a
32,2,0,0,32 is a perfect power
33,2,0,0,3 is a divisor
34,2,0,0,2 is a divisor
35,2,0,0,5 is a divisor
36,2,0,0,36 is a perfect power
37,2,1,0,n/a
38,2,0,0,2 is a divisor
39,2,0,0,3 is a divisor
40,2,0,0,2 is a divisor
41,2,1,0,n/a
42,2,0,0,2 is a divisor
43,2,1,0,n/a
44,2,0,0,2 is a divisor
45,2,0,0,3 is a divisor
46,2,0,0,2 is a divisor
47,2,1,0,n/a
48,2,0,0,2 is a divisor
49,2,0,0,49 is a perfect power
50,2,0,0,2 is a divisor
51,2,0,0,3 is a divisor
52,2,0,0,2 is a divisor
53,2,1,1,n/a
54,2,0,0,2 is a divisor
55,2,0,0,5 is a divisor
56,2,0,0,2 is a divisor
57,2,0,0,3 is a divisor
58,2,0,0,2 is a divisor
59,2,1,0,n/a
60,2,0,0,2 is a divisor
61,2,1,0,n/a
62,2,0,0,2 is a divisor
63,2,0,0,3 is a divisor
64,2,0,0,64 is a perfect power
65,2,0,0,5 is a divisor
66,2,0,0,2 is a divisor
67,2,1,0,n/a
68,2,0,0,2 is a divisor
69,2,0,0,3 is a divisor
70,2,0,0,2 is a divisor
71,2,1,0,n/a
72,2,0,0,2 is a divisor
73,2,1,1,n/a
