Int, Cores, Prime (T/F), Time (milliseconds), Comments
11679,2,0,0,3 is a divisor
11680,2,0,0,2 is a divisor
11681,2,1,66,n/a
11682,2,0,0,2 is a divisor
11683,2,0,0,7 is a divisor
11684,2,0,0,2 is a divisor
11685,2,0,0,3 is a divisor
11686,2,0,0,2 is a divisor
11687,2,0,0,13 is a divisor
11688,2,0,0,2 is a divisor
11689,2,1,31,n/a
11690,2,0,0,2 is a divisor
11691,2,0,0,3 is a divisor
11692,2,0,0,2 is a divisor
11693,2,0,0,11 is a divisor
11694,2,0,0,2 is a divisor
11695,2,0,0,5 is a divisor
11696,2,0,0,2 is a divisor
11697,2,0,0,3 is a divisor
11698,2,0,0,2 is a divisor
11699,2,1,119,n/a
11700,2,0,0,2 is a divisor
11701,2,1,185,n/a
