Int, Cores, Prime (T/F), Time (milliseconds), Comments
160559,2,0,0,7 is a divisor
160560,2,0,0,2 is a divisor
160561,2,0,6,a = 1; r = 125; phi(r) = 100
160562,2,0,0,2 is a divisor
160563,2,0,0,3 is a divisor
160564,2,0,0,2 is a divisor
160565,2,0,0,5 is a divisor
160566,2,0,0,2 is a divisor
160567,2,0,0,11 is a divisor
160568,2,0,0,2 is a divisor
160569,2,0,0,3 is a divisor
160570,2,0,0,2 is a divisor
160571,2,0,6,a = 1; r = 128; phi(r) = 64
160572,2,0,0,2 is a divisor
160573,2,0,0,7 is a divisor
160574,2,0,0,2 is a divisor
160575,2,0,0,3 is a divisor
160576,2,0,0,2 is a divisor
160577,2,0,0,103 is a divisor
160578,2,0,0,2 is a divisor
160579,2,1,251,n/a
160580,2,0,0,2 is a divisor
160581,2,0,0,3 is a divisor
160582,2,0,0,2 is a divisor
160583,2,1,315,n/a
