11,4,2,1
347,28,12,11
9929,84,24,23
32353,112,48,47
104527,128,64,63
7741009,232,112,111
2968813,208,96,95
86456873,340,128,127
200000033,372,120,119
9999954997,542,270,269
10015571473,560,192,191
435465768733,702,216,215
1000528294751,760,288,287
99999999999973,1024,512,511
1003026954441829,1188,360,359
100055128505715869,1536,512,511
29546363270378696821,1968,640,639
4973004941902396102547,2446,1222,1221
614783152143098270145193,2956,1476,1475
86084043198752959566539087,3552,1152,1151
1000474617637553175973957531,3945,2096,2095
387121083116233373653498534693,4639,4638,4637
53437079999999999999999994656293,5378,2688,2687
689960931088884849033689023336009222695077,9323,9322,9321
