n,degF,degG,degMAX,degOUT,tINITIALISE,tEVALUATE,tMULTIPLY,tCONSTRUCT,tRETURN,tTOTAL,CORRECTNESS
7741009,231,231,231,462,0,0,0,4,0,4,1
7741009,231,231,231,462,0,0,0,3,0,4,1
7741009,231,231,231,462,0,0,0,3,0,4,1
7741009,231,231,231,462,0,0,0,4,0,4,1
2968813,0,1,1,1,0,0,0,0,0,0,1
2968813,1,1,1,2,0,0,0,0,0,0,1
2968813,2,2,2,4,0,0,0,0,0,0,1
2968813,1,4,4,5,0,0,0,0,0,0,1
2968813,4,4,4,8,0,0,0,0,0,0,1
2968813,5,8,8,13,0,0,0,0,0,0,1
2968813,8,8,8,16,0,0,0,0,0,0,1
2968813,16,16,16,32,0,0,0,0,0,0,1
2968813,13,32,32,45,0,0,0,0,0,0,1
2968813,32,32,32,64,0,0,0,0,0,0,1
2968813,45,64,64,109,0,0,0,0,0,0,1
2968813,64,64,64,128,0,0,0,0,0,0,1
2968813,109,128,128,237,0,0,0,1,0,1,1
2968813,128,128,128,256,0,0,0,1,0,1,1
2968813,207,207,207,414,0,0,0,3,0,3,1
2968813,207,207,207,414,0,0,0,3,0,3,1
2968813,207,207,207,414,0,0,0,3,0,3,1
2968813,207,207,207,414,0,0,0,3,0,3,1
2968813,207,207,207,414,0,0,0,3,0,3,1
2968813,207,207,207,414,0,0,0,3,0,3,1
2968813,207,207,207,414,0,0,0,3,0,3,1
2968813,207,207,207,414,0,0,0,3,0,4,1
2968813,207,207,207,414,0,0,0,3,0,3,1
2968813,207,207,207,414,0,1,0,3,0,5,1
2968813,207,207,207,414,0,0,0,3,0,3,1
2968813,207,207,207,414,0,0,0,3,0,3,1
2968813,207,207,207,414,0,0,0,3,0,3,1
2968813,207,207,207,414,0,0,0,3,0,3,1
2968813,207,207,207,414,0,0,0,3,0,3,1
2968813,207,207,207,414,0,0,0,3,0,3,1
2968813,207,207,207,414,0,0,0,2,0,3,1
2968813,207,207,207,414,0,0,0,3,0,3,1
2968813,207,207,207,414,0,0,0,3,0,3,1
2968813,207,207,207,414,0,0,0,3,0,3,1
2968813,207,207,207,414,0,0,0,3,0,3,1
86456873,0,1,1,1,0,0,0,0,0,0,1
86456873,1,1,1,2,0,0,0,0,0,0,1
86456873,2,2,2,4,0,0,0,0,0,0,1
86456873,4,4,4,8,0,0,0,0,0,0,1
86456873,1,8,8,9,0,0,0,0,0,0,1
86456873,8,8,8,16,0,0,0,0,0,0,1
86456873,16,16,16,32,0,0,0,0,0,0,1
86456873,9,32,32,41,0,0,0,0,0,0,1
86456873,32,32,32,64,0,0,0,0,0,0,1
86456873,64,64,64,128,0,0,0,0,0,0,1
86456873,128,128,128,256,0,0,0,1,0,1,1
86456873,256,256,256,512,0,0,0,5,0,6,1
86456873,41,339,339,380,0,0,0,3,0,3,1
86456873,339,339,339,678,0,1,0,8,0,10,1
86456873,339,339,339,678,0,1,0,8,0,10,1
86456873,339,339,339,678,0,1,0,8,0,10,1
86456873,339,339,339,678,0,1,0,9,0,10,1
86456873,339,339,339,678,0,1,0,8,0,10,1
86456873,339,339,339,678,0,2,0,8,0,11,1
86456873,339,339,339,678,0,1,0,9,0,10,1
86456873,339,339,339,678,0,1,0,8,0,10,1
86456873,339,339,339,678,0,1,0,8,0,10,1
86456873,339,339,339,678,0,1,0,9,0,10,1
86456873,339,339,339,678,0,1,0,8,0,10,1
86456873,339,339,339,678,0,1,0,9,0,10,1
86456873,339,339,339,678,0,1,0,9,0,10,1
86456873,339,339,339,678,0,1,0,8,0,9,1
86456873,339,339,339,678,0,1,0,8,0,10,1
86456873,339,339,339,678,0,1,0,8,0,10,1
86456873,339,339,339,678,0,1,0,9,0,10,1
86456873,339,339,339,678,0,1,0,9,0,11,1
