100000,5000,40000,8
100001,9090,90900,10
100002,7140,28560,4
100003,100002,100002,1
100004,11946,47784,4
100005,3248,51968,16
100006,24180,48360,2
100007,49440,98880,2
100008,1386,33264,24
100009,1092,78624,72
100010,1224,39168,32
100011,1872,59904,32
100012,11360,45440,4
100013,49470,98940,2
100014,2730,32760,12
100015,9840,78720,8
100016,828,39744,48
100017,11112,66672,6
100018,3486,48804,14
100019,100018,100018,1
100020,3332,26656,8
100021,24136,96544,4
100022,7692,46152,6
100023,2160,51840,24
100024,12502,50008,4
100025,4000,80000,20
100026,5556,33336,6
100027,47828,95656,2
100028,11760,47040,4
100029,33342,66684,2
100030,1428,34272,24
100031,49236,98472,2
100032,1040,33280,32
100033,49634,99268,2
100034,22730,45460,2
100035,108,46656,432
100036,3080,49280,16
100037,1380,82800,60
100038,16672,33344,2
100039,49280,98560,2
100040,120,38400,320
100041,33346,66692,2
100042,50020,50020,1
100043,100042,100042,1
100044,396,28512,72
100045,4240,67840,16
100046,50022,50022,1
100047,33348,66696,2
100048,468,44928,96
100049,100048,100048,1
100050,1540,24640,16
100051,14292,85752,6
100052,25012,50024,2
100053,33348,66696,2
100054,23688,47376,2
100055,40020,80040,2
100056,1890,30240,16
100057,100056,100056,1
100058,7140,42840,6
100059,33352,66704,2
100060,10004,40016,4
100061,7476,89712,12
100062,432,31104,72
100063,48944,97888,2
100064,3016,48256,16
100065,2856,45696,16
100066,50032,50032,1
100067,45430,90860,2
100068,4020,32160,8
100069,100068,100068,1
100070,20012,40024,2
100071,11118,66708,6
100072,5358,42864,8
100073,7524,90288,12
100074,7692,30768,4
100075,40020,80040,2
100076,1764,49392,28
100077,33358,66716,2
100078,22740,45480,2
100079,9744,77952,8
100080,276,26496,96
100081,2440,97600,40
100082,2754,49572,18
100083,1368,65664,48
100084,2470,49400,20
100085,540,77760,144
100086,2382,28584,12
100087,15396,92376,6
100088,12510,50040,4
100089,5040,60480,12
100090,10008,40032,4
100091,9900,99000,10
100092,1314,31536,24
100093,2340,84240,36
100094,50046,50046,1
100095,6672,53376,8
100096,704,45056,64
100097,49698,99396,2
100098,2706,32472,12
100099,16140,96840,6
100100,60,28800,480
100101,5460,65520,12
100102,50050,50050,1
100103,100102,100102,1
100104,672,32256,48
100105,20020,80080,4
100106,50052,50052,1
100107,4746,56952,12
100108,12068,48272,4
100109,100108,100108,1
100110,3220,25760,8
100111,21510,86040,4
100112,6256,50048,8
100113,1200,57600,48
100114,21450,42900,2
100115,40044,80088,2
100116,2754,33048,12
100117,24544,98176,4
100118,24752,49504,2
100119,15950,63800,4
100120,5004,40032,8
100121,42906,85812,2
100122,360,28800,80
100123,49184,98368,2
100124,25030,50060,2
100125,6600,52800,8
100126,23100,46200,2
100127,49728,99456,2
100128,888,28416,32
100129,100128,100128,1
100130,720,34560,48
100131,33376,66752,2
100132,25032,50064,2
100133,45510,91020,2
100134,5562,33372,6
100135,8580,68640,8
100136,12516,50064,4
100137,16100,64400,4
100138,50068,50068,1
100139,46212,92424,2
100140,1668,26688,16
100141,49742,99484,2
100142,10230,40920,4
100143,3708,66744,18
100144,2840,45440,16
100145,20028,80112,4
100146,16690,33380,2
100147,5712,91392,16
100148,25036,50072,2
100149,2250,54000,24
100150,20020,40040,2
100151,100150,100150,1
100152,636,30528,48
100153,100152,100152,1
100154,50076,50076,1
100155,6060,48480,8
100156,3528,42336,12
100157,48990,97980,2
100158,16692,33384,2
100159,16236,97416,6
100160,624,39936,64
100161,5370,64440,12
100162,2460,49200,20
100163,3480,83520,24
100164,3920,31360,8
100165,132,69696,528
100166,5460,43680,8
100167,8256,66048,8
100168,5922,47376,8
100169,100168,100168,1
100170,468,22464,48
100171,1836,99144,54
100172,12324,49296,4
100173,33390,66780,2
100174,50086,50086,1
100175,40060,80120,2
100176,4172,33376,8
100177,3900,78000,20
100178,3852,46224,12
100179,11130,66780,6
100180,5008,40064,8
100181,22960,91840,4
100182,8178,32712,4
100183,100182,100182,1
100184,1788,42912,24
100185,13356,53424,4
100186,50092,50092,1
100187,47448,94896,2
100188,330,29040,88
100189,100188,100188,1
100190,4872,38976,8
100191,732,52704,72
100192,600,48000,80
100193,100192,100192,1
100194,16698,33396,2
100195,9660,77280,8
100196,6084,48672,8
100197,11124,66744,6
100198,1680,40320,24
100199,45540,91080,2
100200,1660,26560,16
